Kanji,JLPT,Kunyomi,Onyomi,Indonesian,Contoh 1,Contoh 2
日,JLPT N5,"ひ, -び, -か","ニチ, ジツ",Siang; Matahari,日 (hi) - hari; hari-hari,平日 (heijitsu) - hari kerja; hari biasa (yaitu bukan hari libur)
一,JLPT N5,"ひと-, ひと.つ","イチ, イツ",Satu,一 (ichi) - satu,一家 (ikka) - sebuah rumah; sebuah tempat tinggal
国,JLPT N5,くに,コク,Negara,国 (kuni) - negara; negara bagian,国王 (kokuou) - raja
人,JLPT N5,"ひと, -り, -と","ジン, ニン",Orang,人 (hito) - pria; orang,知人 (chijin) - teman; kenalan
年,JLPT N5,とし,ネン,Tahun,年 (toshi) - tahun,来年 (rainen) - tahun depan
大,JLPT N5,"おお-, おお.きい, -おお.いに","ダイ, タイ",Besar; Luas,大臣 (daijin) - menteri kabinet,大使 (taishi) - duta besar
十,JLPT N5,"とお, と","ジュウ, ジッ, ジュッ",Sepuluh,十 (juu) - sepuluh,十分 (juubun) - banyak; cukup
二,JLPT N5,"ふた, ふた.つ, ふたたび","ニ, ジ",Dua,二 (ni) - dua,二人 (futari) - dua orang; dua orang
本,JLPT N5,もと,ホン,Buku; Hadiah,本 (hon) - buku; jilid,本来 (honrai) - awalnya; terutama
中,JLPT N5,"なか, うち, あた.る",チュウ,Di dalam; Di bagian dalam,中 (naka) - di dalam; di dalam,背中 (senaka) - punggung (tubuh)
長,JLPT N5,"なが.い, おさ",チョウ,Panjang; Pemimpin,長期 (chouki) - jangka panjang,校長 (kouchou) - kepala sekolah; kepala madrasah
出,JLPT N5,"で.る, -で, だ.す, -だ.す, い.でる, い.だす","シュツ, スイ",Keluar; Meninggalkan,外出 (gaishutsu) - jalan-jalan; perjalanan,出口 (deguchi) - keluar; gerbang
三,JLPT N5,"み, み.つ, みっ.つ","サン, ゾウ",Tiga,三 (san) - tiga,再三 (saisan) - lagi dan lagi; berulang-ulang
時,JLPT N5,"とき, -どき",ジ,Waktu; Jam,時 (toki) - waktu; jam,時期 (jiki) - waktu; musim
