Word,Furigana,Romaji,JLPT,Hinshi,Indonesia Meaning
脂,あぶら,abura,JLPT N2,Noun,lemak; lemak sapi
アイデア,アイデア,aidea,JLPT N2,Noun,ide
相変わらず,あいかわらず,aikawarazu,JLPT N2,Adverb,seperti biasa; seperti biasanya
曖昧,あいまい,aimai,JLPT N2,Na-adjective,samar; ambigu
明け方,あけがた,akegata,JLPT N2,Adverbial noun,fajar
欠伸,あくび,akubi,JLPT N2,Noun,menguap; menguap
飽くまで,あくまで,akumade,JLPT N2,Adverb,sampai akhir; sampai akhir yang pahit
アクセント,アクセント,akusento,JLPT N2,Noun,aksen (dalam bahasa)
雨戸,あまど,amado,JLPT N2,Noun,penutup badai geser
編み物,あみもの,amimono,JLPT N2,Noun,merajut; bahan rajutan
案外,あんがい,angai,JLPT N2,Na-adjective,mendadak
安易,あんい,ani,JLPT N2,Na-adjective,mudah; sederhana
アンテナ,アンテナ,antena,JLPT N2,Noun,antena
青白い,あおじろい,aojiroi,JLPT N2,I-adjective,pucat; kusam
荒い,あらい,arai,JLPT N2,I-adjective,kasar; tidak sopan
粗筋,あらすじ,arasuji,JLPT N2,Noun,Garis besar; ringkasan
改めて,あらためて,aratamete,JLPT N2,Adverb,lain waktu; lagi
彼此,あれこれ,arekore,JLPT N2,Adverb,Ini atau itu; begini dan begitu
有難い,ありがたい,arigatai,JLPT N2,I-adjective,bersyukur; berterima kasih
足跡,あしあと,ashiato,JLPT N2,Noun,jejak kaki
圧縮,あっしゅく,asshuku,JLPT N2,Noun,kompresi; kondensasi
当たり前,あたりまえ,atarimae,JLPT N2,Na-adjective,alami; masuk akal
宛名,あてな,atena,JLPT N2,Noun,Nama (penerima); nama dan alamat (penerima)
厚かましい,あつかましい,atsukamashii,JLPT N2,I-adjective,kurang ajar; tidak tahu malu
慌ただしい,あわただしい,awatadashii,JLPT N2,I-adjective,sibuk; terburu-buru
怪しい,あやしい,ayashii,JLPT N2,I-adjective,mencurigakan; meragukan
危うい,あやうい,ayaui,JLPT N2,I-adjective,berbahaya; berisiko
バイバイ,バイバイ,baibai,JLPT N2,Expression,selamat tinggal; sampai jumpa
売買,ばいばい,baibai,JLPT N2,Noun,perdagangan; jual beli
売店,ばいてん,baiten,JLPT N2,Noun,toko; kios
バケツ,バケツ,baketsu,JLPT N2,Noun,ember; wadah
バック,バック,bakku,JLPT N2,Noun,kembali
番地,ばんち,banchi,JLPT N2,Noun,nomor rumah; alamat
バンド,バンド,bando,JLPT N2,Noun,band
発条,ばね,bane,JLPT N2,Noun,"pegas (misalnya pegas spiral, pegas daun); pegas utama"
万歳,ばんざい,banzai,JLPT N2,Noun,"berteriak ""banzai"" (atau mengangkat tangan dengan gerakan banzai)"
バランス,バランス,baransu,JLPT N2,Noun,keseimbangan
×,ばってん,batten,JLPT N2,Noun,"tanda silang (digunakan untuk menunjukkan jawaban yang salah dalam ujian, dll.)"
便所,べんじょ,benjo,JLPT N2,Noun,toilet; kamar kecil
別荘,べっそう,bessou,JLPT N2,Noun,rumah liburan; vila
ベテラン,ベテラン,beteran,JLPT N2,Noun,orang yang memiliki banyak pengalaman; orang yang sudah berpengalaman
別々,べつべつ,betsubetsu,JLPT N2,Na-adjective,secara terpisah; secara individual
ビニール,ビニール,bini-ru,JLPT N2,Noun,vinil
便箋,びんせん,binsen,JLPT N2,Noun,kertas tulis; alat tulis
瓶詰め,びんづめ,binzume,JLPT N2,Noun,pembotolan; dikemas dalam botol
ビルディング,ビルディング,birudeィngu,JLPT N2,Noun,bangunan
ビタミン,ビタミン,bitamin,JLPT N2,Noun,vitamin
美容,びよう,biyou,JLPT N2,Noun,keindahan bentuk atau rupa
ボーナス,ボーナス,bo-nasu,JLPT N2,Noun,bonus
牧畜,ぼくちく,bokuchiku,JLPT N2,Noun,peternakan
牧場,ぼくじょう,bokujou,JLPT N2,Noun,pertanian (peternakan); peternakan (AS)
盆地,ぼんち,bonchi,JLPT N2,Noun,"cekungan (misalnya, di antara pegunungan)"
襤褸,ぼろ,boro,JLPT N2,Noun,kain lusuh; potongan kain
望遠鏡,ぼうえんきょう,bouenkyou,JLPT N2,Noun,teleskop
防犯,ぼうはん,bouhan,JLPT N2,Noun,pencegahan kejahatan
坊さん,ぼうさん,bousan,JLPT N2,Noun,Pendeta Buddha; biksu
防止,ぼうし,boushi,JLPT N2,Noun,pencegahan; periksa
坊や,ぼうや,bouya,JLPT N2,Noun,anak laki-laki
部品,ぶひん,buhin,JLPT N2,Noun,suku cadang; aksesori
文房具,ぶんぼうぐ,bunbougu,JLPT N2,Noun,alat tulis
文芸,ぶんげい,bungei,JLPT N2,Noun,Sastra; seni dan sastra
分解,ぶんかい,bunkai,JLPT N2,Noun,pembongkaran; penguraian
文献,ぶんけん,bunken,JLPT N2,Noun,sastra; buku (referensi)
文脈,ぶんみゃく,bunmyaku,JLPT N2,Noun,konteks
